Age,Educational_level,Screening_time,doubts_frequency,doubts_clearance_frequency,assignments_deadlines,health_problems,lack_of_practical_exposure,Irregular_eating_habits,Exercise,depressiveness,anxiety_interference,overthinking,unnecessary_misunderstandings ,online_courses,courses_completed,concentration_difficulty,procrastination,social_media_hours,hobby_hours,increased_sleep_hours                                                                                                                          ,online_difficulty_level,focus_level,Total
16 to 18 years,Higher Secondary School,3 to 4 hours,Rarely,Always,Never,Yes,Sometimes,Yes,Sometimes,Never,Yes,May be,Yes,0,0,1,5,4,1,4,1,5,21
16 to 18 years,Higher Secondary School,2 to 3 hours,Always,Always,Sometimes,Yes,Always,Yes,Rarely,Occasionally,Maybe,Yes,No,1,1,5,4,3,1,2,4,5,24
16 to 18 years,Higher Secondary School,4 to 5 hours,Sometimes,Sometimes,Sometimes,Yes,Always,Yes,Sometimes,Occasionally,Yes,Yes,Yes,0,0,4,4,2,0,2,5,3,20
16 to 18 years,Higher Secondary School,4 to 5 hours,Rarely,Sometimes,Never,No,Always,No,Rarely,Never,No,No,Maybe,0,0,2,2,2,1,2,3,3,15
16 to 18 years,Higher Secondary School,4 to 5 hours,Rarely,Always,Sometimes,Yes,Always,Yes,Rarely,Occasionally,No,Yes,Maybe,more than 3,more than 3,3,2,1,2,2,3,3,16
16 to 18 years,Higher Secondary School,4 to 5 hours,Rarely,Sometimes,Rarely,Yes,Always,Yes,Never,All the time,Yes,Yes,Maybe,1,1,4,5,4,1,4,5,4,27
16 to 18 years,Higher Secondary School,2 to 3 hours,Rarely,Always,Rarely,No,Always,No,Rarely,Occasionally,No,May be,Yes,0,0,4,2,2,1,3,4,5,21
18 to 22 years,Under Graduate,2 to 3 hours,Sometimes,Rarely,Sometimes,Yes,Rarely,Yes,Rarely,Occasionally,Yes,Yes,Maybe,1,1,2,3,2,1,2,4,5,19
18 to 22 years,Under Graduate,4 to 5 hours,Rarely,Always,Sometimes,Yes,Always,Yes,Sometimes,Occasionally,Yes,Yes,Yes,2,1,4,4,3,1,2,4,3,21
13 to 15 years,Secondary School,2 to 3 hours,Sometimes,Always,Sometimes,No,Never,No,Rarely,Rarely,No,No,Maybe,0,0,2,2,1,2,3,2,3,15
16 to 18 years,Higher Secondary School,3 to 4 hours,Sometimes,Sometimes,Sometimes,Yes,Sometimes,Yes,Sometimes,Occasionally,Yes,Yes,Yes,1,1,4,4,3,1,2,3,3,20
18 to 22 years,Under Graduate,5 to 6 hours,Rarely,Rarely,Sometimes,Yes,Sometimes,Yes,Sometimes,Occasionally,No,May be,Maybe,2,2,5,4,3,2,2,3,5,24
18 to 22 years,Under Graduate,2 to 3 hours,Rarely,Rarely,Sometimes,No,Rarely,No,Always,Rarely,Maybe,Yes,No,1,1,2,2,2,1,2,1,3,13
18 to 22 years,Under Graduate,5 to 6 hours,Rarely,Sometimes,Never,Yes,Always,Yes,Sometimes,Rarely,No,No,No,3,3,3,3,2,1,2,3,3,17
16 to 18 years,Secondary School,2 to 3 hours,Rarely,Always,Rarely,Yes,Always,No,Rarely,Occasionally,No,May be,Yes,0,0,4,2,2,1,3,4,5,21
18 to 22 years,Under Graduate,2 to 3 hours,Sometimes,Rarely,Sometimes,Yes,Rarely,Yes,Rarely,Occasionally,Yes,Yes,Maybe,1,1,2,3,2,1,2,4,5,19
18 to 22 years,Under Graduate,4 to 5 hours,Rarely,Always,Sometimes,Yes,Always,Yes,Sometimes,Occasionally,Yes,Yes,Yes,2,1,4,4,3,1,2,4,3,21
13 to 15 years,Secondary School,2 to 3 hours,Sometimes,Always,Sometimes,Yes,Never,No,Rarely,Rarely,No,No,Maybe,0,0,2,2,3,2,3,2,3,17
16 to 18 years,Higher Secondary School,3 to 4 hours,Sometimes,Sometimes,Sometimes,Yes,Sometimes,Yes,Sometimes,Occasionally,Yes,Yes,Yes,1,1,4,4,3,1,2,3,3,20
13 to 15 years,Secondary School,2 to 3 hours,Rarely,Sometimes,Sometimes,No,Sometimes,Yes,Rarely,All the time,Yes,Yes,Maybe,0,0,3,3,1,2,3,3,2,17
13 to 15 years,Secondary School,2 to 3 hours,Rarely,Sometimes,Sometimes,NA,Always,Yes,Sometimes,Rarely,Maybe,Yes,Yes,0,0,4,4,1,1,3,4,4,21
13 to 15 years,Secondary School,2 to 3 hours,Rarely,Sometimes,Never,Yes,Rarely,Yes,Never,Never,No,No,Maybe,0,0,3,3,3,1,3,2,3,18
13 to 15 years,Secondary School,2 to 3 hours,Never,Never,Rarely,No,Never,No,Always,Occasionally,Yes,No,Maybe,1,1,3,5,2,2,4,3,3,22
16 to 18 years,Higher Secondary School,3 to 4 hours,Always,Always,Sometimes,No,Never,No,Always,All the time,Yes,No,Yes,2,1,5,5,2,2,3,1,5,23
16 to 18 years,Higher Secondary School,3 to 4 hours,Sometimes,Always,Rarely,No,Rarely,No,Always,Rarely,Maybe,No,Maybe,0,0,3,4,2,2,3,4,3,21
16 to 18 years,Higher Secondary School,3 to 4 hours,Always,Always,Sometimes,No,Rarely,No,Always,Rarely,No,No,Maybe,more than 3,more than 3,2,2,2,2,3,3,2,16
16 to 18 years,Higher Secondary School,3 to 4 hours,Sometimes,Always,Never,Yes,Rarely,Yes,Sometimes,Never,No,No,No,3,2,4,2,2,2,3,3,4,20
16 to 18 years,Higher Secondary School,3 to 4 hours,Sometimes,Always,Always,No,Always,Yes,Sometimes,All the time,Yes,Yes,Yes,3,2,4,5,2,2,3,3,4,23
16 to 18 years,Higher Secondary School,3 to 4 hours,Sometimes,Always,Always,Yes,Always,Yes,Sometimes,All the time,Yes,May be,Maybe,2,1,3,3,2,1,3,4,3,19
16 to 18 years,Higher Secondary School,3 to 4 hours,Sometimes,Sometimes,Rarely,No,Sometimes,Yes,Sometimes,Occasionally,Yes,Yes,Yes,2,2,3,4,3,1,2,3,3,19
16 to 18 years,Higher Secondary School,3 to 4 hours,Sometimes,Always,Always,No,Always,No,Always,All the time,Maybe,Yes,Maybe,2,2,2,4,2,2,2,4,2,18
16 to 18 years,Higher Secondary School,3 to 4 hours,Sometimes,Always,Sometimes,No,Sometimes,No,Sometimes,Occasionally,Yes,Yes,Yes,2,1,3,3,1,2,2,3,3,17
18 to 22 years,Under Graduate,4 to 5 hours,Sometimes,Sometimes,Sometimes,No,Always,Yes,Rarely,Rarely,Yes,Yes,Yes,3,1,4,3,2,1,2,4,4,20
18 to 22 years,Under Graduate,4 to 5 hours,Sometimes,Always,Never,Yes,Sometimes,Yes,Sometimes,Never,No,No,Yes,3,1,4,3,2,1,2,3,4,19
18 to 22 years,Under Graduate,4 to 5 hours,Sometimes,Always,Always,Yes,Sometimes,Yes,Sometimes,Occasionally,Yes,Yes,Yes,3,0,4,4,4,1,2,5,4,24
13 to 15 years,Secondary School,2 to 3 hours,Sometimes,Always,Rarely,No,Sometimes,No,Always,Occasionally,Yes,Yes,Yes,2,1,2,3,3,2,4,2,2,18
13 to 15 years,Secondary School,2 to 3 hours,Never,Sometimes,Never,NA,Sometimes,No,Sometimes,All the time,Yes,No,Yes,0,0,3,3,4,2,4,4,2,22
13 to 15 years,Secondary School,2 to 3 hours,Never,Sometimes,Always,Yes,Sometimes,Yes,Sometimes,Occasionally,Maybe,May be,Maybe,0,0,2,3,4,1,3,3,2,18
13 to 15 years,Secondary School,2 to 3 hours,Never,Sometimes,Sometimes,No,Sometimes,No,Never,Occasionally,No,May be,No,2,2,2,5,3,1,3,5,2,21
18 to 22 years,Under Graduate,4 to 5 hours,Always,Sometimes,Sometimes,NA,Always,Yes,Never,Rarely,Maybe,May be,Maybe,0,0,3,3,4,2,2,2,3,19
18 to 22 years,Under Graduate,4 to 5 hours,Never,Sometimes,Always,No,Always,No,Always,Occasionally,Maybe,Yes,Yes,3,1,3,4,4,1,1,5,3,21
18 to 22 years,Under Graduate,4 to 5 hours,Sometimes,Always,Sometimes,Yes,Always,Yes,Never,All the time,Yes,Yes,Maybe,more than 3,more than 3,4,4,4,0,1,3,4,20
18 to 22 years,Under Graduate,4 to 5 hours,Sometimes,Sometimes,Rarely,No,Always,No,Sometimes,Never,Maybe,No,Yes,more than 3,more than 3,4,3,2,0,1,3,4,17
18 to 22 years,Under Graduate,4 to 5 hours,Sometimes,Sometimes,Sometimes,Yes,Always,Yes,Rarely,Occasionally,Maybe,Yes,Yes,more than 3,more than 3,4,4,4,1,1,4,4,22
18 to 22 years,Under Graduate,4 to 5 hours,Sometimes,Sometimes,Never,Yes,Always,Yes,Sometimes,Occasionally,Yes,No,No,1,1,5,3,3,1,1,5,5,23
18 to 22 years,Under Graduate,4 to 5 hours,Always,Always,Rarely,No,Rarely,No,Sometimes,Rarely,No,No,No,more than 3,more than 3,3,4,2,1,1,1,3,15
23 to 26 years,Post Graduate,5 to 6 hours,Never,Never,Rarely,No,Always,No,Rarely,Occasionally,Yes,Yes,Yes,3,3,5,5,2,0,0,5,5,22
23 to 26 years,Post Graduate,5 to 6 hours,Rarely,Sometimes,Never,Yes,Always,May be,Always,All the time,Yes,No,Yes,3,3,5,2,1,0,0,5,5,18
23 to 26 years,Post Graduate,5 to 6 hours,Rarely,Sometimes,Sometimes,Yes,Always,May be,Sometimes,Occasionally,Maybe,May be,Maybe,3,3,4,2,1,0,0,4,4,15
13 to 15 years,Secondary School,2 to 3 hours,Sometimes,Sometimes,Sometimes,No,Rarely,No,Rarely,Rarely,Yes,Yes,Yes,2,2,5,4,1,2,4,5,5,26
23 to 26 years,Post Graduate,5 to 6 hours,Rarely,Sometimes,Rarely,Yes,Always,Yes,Never,Rarely,No,May be,Yes,3,1,5,2,2,0,0,4,5,18
23 to 26 years,Post Graduate,5 to 6 hours,Never,Never,Rarely,No,Sometimes,No,Sometimes,Occasionally,Maybe,Yes,Yes,3,2,5,2,1,0,0,4,5,17
23 to 26 years,Post Graduate,5 to 6 hours,Rarely,Sometimes,Sometimes,Yes,Always,Yes,Rarely,Occasionally,Yes,Yes,Yes,3,0,5,2,2,0,0,4,5,18
23 to 26 years,Post Graduate,5 to 6 hours,Sometimes,Always,Always,Yes,Always,Yes,Sometimes,Never,No,No,No,more than 3,2,4,2,3,0,0,3,4,16
18 to 22 years,Under Graduate,4 to 5 hours,Rarely,Sometimes,Rarely,Yes,Always,Yes,Sometimes,Rarely,Yes,Yes,Maybe,more than 3,more than 3,4,4,3,0,1,2,4,18
18 to 22 years,Under Graduate,4 to 5 hours,Sometimes,Always,Sometimes,Yes,Sometimes,Yes,Sometimes,Rarely,Maybe,May be,No,more than 3,more than 3,3,3,3,1,1,2,3,16
18 to 22 years,Under Graduate,4 to 5 hours,Rarely,Sometimes,Never,Yes,Sometimes,Yes,Sometimes,Occasionally,No,Yes,No,1,1,3,4,3,1,1,4,4,20
18 to 22 years,Under Graduate,4 to 5 hours,Sometimes,Sometimes,Rarely,No,Always,No,Sometimes,Occasionally,Maybe,May be,Maybe,2,2,3,3,2,0,1,4,4,17
18 to 22 years,Under Graduate,4 to 5 hours,Sometimes,Always,Always,No,Never,Yes,Rarely,Never,Maybe,No,Maybe,0,0,4,5,2,0,1,3,4,19
13 to 15 years,Secondary School,2 to 3 hours,Rarely,Sometimes,Sometimes,No,Always,No,Never,All the time,Yes,Yes,Yes,3,3,3,3,2,2,4,2,3,19
13 to 15 years,Secondary School,2 to 3 hours,Rarely,Sometimes,Never,No,Always,No,Always,All the time,Yes,No,Yes,0,0,3,5,2,2,4,5,3,24
23 to 26 years,Post Graduate,5 to 6 hours,Always,Always,Sometimes,Yes,Sometimes,Yes,Sometimes,Rarely,No,Yes,Yes,more than 3,1,4,2,3,0,0,3,4,16
23 to 26 years,Post Graduate,5 to 6 hours,Rarely,Always,Never,Yes,Sometimes,Yes,Rarely,Rarely,No,May be,Yes,more than 3,more than 3,5,2,3,0,0,3,5,18
