Age,Educational_level,Screening_time,health_problems,Irregular_eating_habits,hobby_hours,increased_sleep_hours                                                                                                                          ,social_media_hours,Exercise,depressiveness,anxiety_interference,overthinking,concentration_difficulty,online_difficulty_level,focus_level
16 to 18 years,Higher Secondary School,3 to 4 hours,Yes,Yes,1,4,4,Sometimes,Never,Yes,May be,1,1,5
16 to 18 years,Higher Secondary School,2 to 3 hours,Yes,Yes,1,2,3,Rarely,Occasionally,Maybe,Yes,5,4,5
16 to 18 years,Higher Secondary School,4 to 5 hours,Yes,Yes,0,2,2,Sometimes,Occasionally,Yes,Yes,4,5,3
16 to 18 years,Higher Secondary School,4 to 5 hours,No,No,1,2,2,Rarely,Never,No,No,2,3,3
16 to 18 years,Higher Secondary School,4 to 5 hours,Yes,Yes,2,2,1,Rarely,Occasionally,No,Yes,3,3,3
16 to 18 years,Higher Secondary School,4 to 5 hours,Yes,Yes,1,4,4,Never,All the time,Yes,Yes,4,5,4
16 to 18 years,Higher Secondary School,2 to 3 hours,No,No,1,3,2,Rarely,Occasionally,No,May be,4,4,5
18 to 22 years,Under Graduate,2 to 3 hours,Yes,Yes,1,2,2,Rarely,Occasionally,Yes,Yes,2,4,5
18 to 22 years,Under Graduate,4 to 5 hours,Yes,Yes,1,2,3,Sometimes,Occasionally,Yes,Yes,4,4,3
13 to 15 years,Secondary School,2 to 3 hours,No,No,2,3,1,Rarely,Rarely,No,No,2,2,3
16 to 18 years,Higher Secondary School,3 to 4 hours,Yes,Yes,1,2,3,Sometimes,Occasionally,Yes,Yes,4,3,3
18 to 22 years,Under Graduate,5 to 6 hours,Yes,Yes,2,2,3,Sometimes,Occasionally,No,May be,5,3,5
18 to 22 years,Under Graduate,2 to 3 hours,No,No,1,2,2,Always,Rarely,Maybe,Yes,2,1,3
18 to 22 years,Under Graduate,5 to 6 hours,Yes,Yes,1,2,2,Sometimes,Rarely,No,No,3,3,3
16 to 18 years,Secondary School,2 to 3 hours,Yes,No,1,3,2,Rarely,Occasionally,No,May be,4,4,5
18 to 22 years,Under Graduate,2 to 3 hours,Yes,Yes,1,2,2,Rarely,Occasionally,Yes,Yes,2,4,5
18 to 22 years,Under Graduate,4 to 5 hours,Yes,Yes,1,2,3,Sometimes,Occasionally,Yes,Yes,4,4,3
13 to 15 years,Secondary School,2 to 3 hours,Yes,No,2,3,3,Rarely,Rarely,No,No,2,2,3
16 to 18 years,Higher Secondary School,3 to 4 hours,Yes,Yes,1,2,3,Sometimes,Occasionally,Yes,Yes,4,3,3
13 to 15 years,Secondary School,2 to 3 hours,No,Yes,2,3,1,Rarely,All the time,Yes,Yes,3,3,2
13 to 15 years,Secondary School,2 to 3 hours,NA,Yes,1,3,1,Sometimes,Rarely,Maybe,Yes,4,4,4
13 to 15 years,Secondary School,2 to 3 hours,Yes,Yes,1,3,3,Never,Never,No,No,3,2,3
13 to 15 years,Secondary School,2 to 3 hours,No,No,2,4,2,Always,Occasionally,Yes,No,3,3,3
16 to 18 years,Higher Secondary School,3 to 4 hours,No,No,2,3,2,Always,All the time,Yes,No,5,1,5
16 to 18 years,Higher Secondary School,3 to 4 hours,No,No,2,3,2,Always,Rarely,Maybe,No,3,4,3
16 to 18 years,Higher Secondary School,3 to 4 hours,No,No,2,3,2,Always,Rarely,No,No,2,3,2
16 to 18 years,Higher Secondary School,3 to 4 hours,Yes,Yes,2,3,2,Sometimes,Never,No,No,4,3,4
16 to 18 years,Higher Secondary School,3 to 4 hours,No,Yes,2,3,2,Sometimes,All the time,Yes,Yes,4,3,4
16 to 18 years,Higher Secondary School,3 to 4 hours,Yes,Yes,1,3,2,Sometimes,All the time,Yes,May be,3,4,3
16 to 18 years,Higher Secondary School,3 to 4 hours,No,Yes,1,2,3,Sometimes,Occasionally,Yes,Yes,3,3,3
16 to 18 years,Higher Secondary School,3 to 4 hours,No,No,2,2,2,Always,All the time,Maybe,Yes,2,4,2
16 to 18 years,Higher Secondary School,3 to 4 hours,No,No,2,2,1,Sometimes,Occasionally,Yes,Yes,3,3,3
18 to 22 years,Under Graduate,4 to 5 hours,No,Yes,1,2,2,Rarely,Rarely,Yes,Yes,4,4,4
18 to 22 years,Under Graduate,4 to 5 hours,Yes,Yes,1,2,2,Sometimes,Never,No,No,4,3,4
18 to 22 years,Under Graduate,4 to 5 hours,Yes,Yes,1,2,4,Sometimes,Occasionally,Yes,Yes,4,5,4
